Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/21 09:37:05,3600.0061,3600.0061,1.00,1.00,0.00,0.00,0.00,0.00,0,3.006174,0,0,0,,0,0,0,0,,0,0,24.99213,-0.03868341,
2021/11/21 11:53:15,11769.6898,8169.6425,1.00,2.00,0.00,0.00,0.00,0.00,0.04998824,4.200029,0.20995205765896,2.936409,2.69348E-05,3.81105754687722,11.21898,8.096948E-05,8168.756,0.0785,,0,0.000586,25.00972,-0.1237541,
2021/11/21 12:23:15,13569.7392,1800.0037,1.00,3.00,0.00,0.00,0.00,0.00,0,4.186627,0,2.936409,2.69348E-05,,11.21898,8.096948E-05,8168.756,0.0785,,0,0.000586,25.29673,-0.001821518,
2021/11/21 14:23:04,20759.0099,7189.2289,1.00,4.00,0.00,0.00,0.00,0.00,-1.503899,2.49996,-3.75968734404,2.936409,3.002532,3.65797496456142,11.21898,10.91435,8168.771,7188.529,,102.25,65.272435,27.3506,0.07555127,
2021/11/21 14:53:04,22559.0687,1800.0046,1.00,6.00,0.00,0.00,0.00,0.00,0,2.874928,0,2.936409,3.002534,,11.21898,10.91436,8168.771,7188.533,,102.25,65.272478,25.3229,-0.02143025,
2021/11/21 17:09:36,30750.5905,8191.4767,1.00,7.00,0.00,0.00,0.00,0.00,0.0499985,4.199939,0.2099906500915,5.89018,3.002549,3.80706465696206,22.48622,10.9144,16359.17,7188.57,,50.98,65.272804,25.46124,0.07630706,
2021/11/21 17:09:38,30752.7071,2.0535,1.00,8.00,0.00,0.00,0.00,0.00,0.2500376,4.203424,1.0510140487424,5.89018,3.002549,,22.48622,10.9144,16359.18,7188.57,,50.98,65.272804,25.460074202519,0.0757949392819654,
2021/11/21 19:09:38,37952.7536,7200.0021,1.00,9.00,0.00,0.00,0.00,0.00,0,4.180717,0,5.89018,3.002549,,22.48622,10.9144,16359.18,7188.57,,50.98,65.272804,25.18081,-0.01451492,
2021/11/22 22:10:48,135223.2337,97270.4375,1.00,10.00,0.00,0.00,0.00,0.00,-0.1238327,2.499995,-0.3095811308365,5.890182,6.341734,3.70690672375466,22.48623,23.21448,16359.21,104443.2,,107.67,137.863783,25.59848,-0.05163491,
2021/11/23 00:10:48,142423.2795,7200.0025,1.00,11.00,0.00,0.00,0.00,0.00,0,2.736411,0,5.890182,6.341734,,22.48623,23.21448,16359.21,104443.2,,107.67,137.863783,25.32862,0.06541193,
2021/11/23 23:26:30,226164.9002,83741.5782,1.00,12.00,0.00,0.00,0.00,0.00,0.1178284,4.200022,0.4948818722248,8.625246,6.341735,3.74036572391038,32.74558,23.21448,100073.4,104443.3,,73.53,137.863804,25.12874,-0.0793463,
