Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/19 19:12:42,32935.7024,1800.0028,1,15,0,0,0,0,0,2.95859,0,5.271445,3.341309E-06,20.38299,21.49954,15235.4,7198.621,,0,7.3E-05,25.34806,-0.0007027388,
2021/11/19 23:58:16,50069.6403,1800.0031,2,15,0,0,0,0,0,2.954864,0,8.270962,4.092476E-06,31.83334,32.23043,8434.551,3588.458,,0,8.9E-05,25.30836,0.01223087,
2021/11/20 04:42:45,67138.9124,1800.0022,3,15,0,0,0,0,0,2.953212,0,11.26368,4.843313E-06,43.25773,42.93667,8406.044,3578.339,,0,0.000105,25.35592,0.0187844,
2021/11/20 09:26:33,84166.5273,1800.003,4,15,0,0,0,0,0,2.952709,0,14.24792,3.675655E-06,54.65131,53.61673,8373.21,3567.868,,0,8E-05,25.55396,0.05737841,
2021/11/20 09:27:03,84196.5774,30.0075,5,17,0,0,0,0,0,2.953257,0,14.24792,3.675655E-06,54.65131,53.61673,0,0,,0,8E-05,25.44722,-0.0002539158,
