Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/24 09:34:43,1800.0013,1800.0013,1.00,1.00,0.00,0.00,0.00,0.00,0,2.910976,0,0,0,,0,0,0,0,,0,0,25.29215,0.05281627,
2021/11/24 10:59:30,6886.707,5086.6638,1.00,2.00,0.00,0.00,0.00,0.00,0.0499992,4.199893,0.2099912900856,2.978299,7.979356E-06,3.85664098438147,11.50788,2.322788E-05,5084.541,0.044,,0,0.000173,25.92873,-0.01429617,
2021/11/24 11:04:30,7186.7516,300.0032,1.00,3.00,0.00,0.00,0.00,0.00,0,4.193085,0,2.978299,7.979356E-06,,11.50788,2.322788E-05,5084.545,0.044,,0,0.000173,25.8898,-0.03764629,
2021/11/24 11:04:32,7188.8451,2.0518,1.00,4.00,0.00,0.00,0.00,0.00,0.2499951,4.1985,1.04960442735,2.978299,7.979356E-06,-∞,11.50788,2.322788E-05,5084.545,0.044,,0,0.000173,25.8946350363894,-0.035878386067574,
2021/11/24 11:34:32,8988.8882,1800.0045,1.00,5.00,0.00,0.00,0.00,0.00,0,4.184925,0,2.978299,7.979356E-06,,11.50788,2.322788E-05,5084.545,0.044,,0,0.000173,25.72261,0.04426062,
2021/11/24 13:30:09,15925.8902,6936.9545,1.00,7.00,0.00,0.00,0.00,0.00,-1.500211,2.499982,-3.750500496202,2.978301,2.890056,3.6569731226775,11.50789,10.50702,5084.581,6935.048,,97.04,62.827304,27.85581,0.02617478,
2021/11/24 14:00:09,17725.9431,1800.0032,1.00,9.00,0.00,0.00,0.00,0.00,0,2.878373,0,2.978301,2.890059,,11.50789,10.50702,5084.581,6935.055,,97.04,62.82737,25.62998,0.04770398,
2021/11/24 15:25:31,22848.217,5122.2308,1.00,10.00,0.00,0.00,0.00,0.00,0.0499994,4.199944,0.2099946800336,5.930694,2.890072,3.86985040852356,22.90183,10.50706,10205.58,6935.096,,48.73,62.827652,25.75002,0.06370842,
2021/11/24 15:55:31,24648.2729,1800.0029,1.00,12.00,0.00,0.00,0.00,0.00,0,4.1863,0,5.930694,2.890072,,22.90183,10.50706,10205.58,6935.096,,48.73,62.827652,25.59418,0.04416347,
2021/11/24 16:41:24,27401.1517,2752.838,1.00,13.00,0.00,0.00,0.00,0.00,-3.854691,2.499983,-9.636661970253,5.930695,5.836756,3.24284820943797,22.90183,21.00345,10205.62,9687.44,,98.42,126.886,31.58823,0.06293654,
2021/11/24 17:11:24,29201.1969,1800.003,1.00,14.00,0.00,0.00,0.00,0.00,0,2.969532,0,5.930695,5.83676,,22.90183,21.00346,10205.62,9687.444,,98.42,126.886087,25.62519,0.0402528,
2021/11/24 18:35:59,34275.8983,5074.6381,1.00,10.00,1.00,1.00,0.00,0.00,0.04997599,4.200219,0.20991010274181,8.846718,5.836801,,34.17187,21.00358,15279.05,9687.488,,65.98,126.886978,25.48734,0.01702249,
2021/11/24 19:05:59,36075.9509,1800.0031,1.00,12.00,1.00,1.00,0.00,0.00,0,4.186482,0,8.846718,5.836801,,34.17187,21.00358,15279.06,9687.488,,65.98,126.886978,25.26554,-0.03690779,
2021/11/24 19:28:42,37438.6431,1362.6503,1.00,13.00,1.00,1.00,0.00,0.00,-7.712227,2.499742,-19.278577745434,8.846718,8.755047,,34.17187,31.09489,15279.08,11049.91,,98.96,190.327109,40.22015,0.0467658,
2021/11/24 19:58:42,39238.69,1800.0036,1.00,14.00,1.00,1.00,0.00,0.00,0,3.017773,0,8.846718,8.755051,,34.17187,31.0949,15279.08,11049.91,,98.96,190.327196,26.01642,0.1154852,
2021/11/24 21:22:48,44285.226,5046.4751,1.00,10.00,2.00,2.00,0.00,0.00,0.04999937,4.200009,0.20999780399433,11.73986,8.75513,,45.36394,31.09514,20322.85,11049.96,,74.58,190.328913,25.71619,0.02331972,
2021/11/24 21:52:48,46085.2781,1800.0023,1.00,12.00,2.00,2.00,0.00,0.00,0,4.186736,0,11.73986,8.75513,,45.36394,31.09514,20322.86,11049.96,,74.58,190.328913,25.45695,-0.02028108,
2021/11/24 22:07:51,46988.07,902.7509,1.00,13.00,2.00,2.00,0.00,0.00,-11.56917,2.499969,-28.92256635573,11.73986,11.65408,,45.36394,40.87904,20322.87,11952.1,,99.27,253.349565,49.19643,0.01604795,
2021/11/24 22:37:51,48788.1145,1800.0027,1.00,14.00,2.00,2.00,0.00,0.00,0,3.048214,0,11.73986,11.65409,,45.36394,40.87907,20322.87,11952.11,,99.27,253.349783,25.41276,0.0416404,
2021/11/25 00:01:34,53810.3768,5022.1997,1.00,10.00,3.00,3.00,0.00,0.00,0.04999921,4.20007,0.2100001819447,14.61711,11.65421,,56.50245,40.87941,25342.5,11952.15,,79.73,253.352391,25.45798,-0.05581737,
2021/11/25 00:31:34,55610.4297,1800.003,1.00,12.00,3.00,3.00,0.00,0.00,0,4.186719,0,14.61711,11.65421,,56.50245,40.87941,25342.51,11952.15,,79.73,253.352391,25.3214,-0.07626235,
2021/11/25 00:42:46,56282.5469,672.0771,1.00,13.00,3.00,3.00,0.00,0.00,-15.4262,2.499978,-38.5651606236,14.61711,14.53164,,56.50245,50.3829,25342.55,12623.66,,99.42,315.905217,59.10054,0.1189435,
2021/11/25 01:12:46,58082.5923,1800.0028,1.00,14.00,3.00,3.00,0.00,0.00,0,3.085176,0,14.61711,14.53166,,56.50245,50.38295,25342.55,12623.66,,99.42,315.905652,25.63834,0.03554165,
2021/11/25 02:35:56,63072.7479,4990.0911,1.00,10.00,4.00,4.00,0.00,0.00,0.04999585,4.200074,0.2099862696929,17.47439,14.53181,,67.5733,50.3834,30330.2,12623.71,,83.16,315.908913,25.51895,0.06848812,
2021/11/25 03:05:56,64872.8007,1800.0012,1.00,12.00,4.00,4.00,0.00,0.00,0,4.186733,0,17.47439,14.53181,,67.5733,50.3834,30330.21,12623.71,,83.16,315.908913,25.32527,-0.05717278,
2021/11/25 03:14:48,65405.2781,532.4365,1.00,13.00,4.00,4.00,0.00,0.00,-19.28472,2.499931,-48.21046935432,17.47439,17.38193,,67.5733,59.599,30330.22,13155.78,,99.47,377.868043,69.37011,0.00623703,
2021/11/25 03:44:48,67205.322499,1800.0026,1.00,14.00,4.00,4.00,0.00,0.00,0,3.129885,0,17.47439,17.38195,,67.5733,59.59906,30330.22,13155.78,,99.47,377.868478,25.47568,-0.08146167,
