Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/19 10:34:17,1800.0036,1800.0036,1.00,1.00,0.00,0.00,0.00,0.00,0,3.53428,0,0,0,,0,0,0,0,,0,0,25.58468,0.001044869,
2021/11/19 12:23:36,8358.6991,6558.6558,1.00,2.00,0.00,0.00,0.00,0.00,0.0499926,4.199938,0.2099658204588,2.244234,1.455869E-05,3.93197086951695,8.818871,5.145381E-05,6555.664,0.0518,,0,0.000316,25.51728,-0.08369923,
2021/11/19 12:53:36,10158.7455,1800.003,1.00,3.00,0.00,0.00,0.00,0.00,0,4.185172,0,2.244235,1.455869E-05,,8.818871,5.145381E-05,6555.668,0.0518,,0,0.000316,25.4985,-0.01236379,
2021/11/19 13:53:56,13778.77,3619.9834,1.00,4.00,0.00,0.00,0.00,0.00,-2.999611,2.499947,-7.498868520617,2.244235,3.014834,3.59725318993062,8.818871,10.78577,6555.668,3619.091,,134.34,65.53987,30.48581,-0.03063202,
2021/11/19 14:23:56,15578.8225,1800.0026,1.00,6.00,0.00,0.00,0.00,0.00,0,2.958295,0,2.244235,3.014841,,8.818871,10.78578,6555.668,3619.099,,134.34,65.540022,25.42699,-0.05556464,
2021/11/19 16:40:59,23802.0418,8223.1789,1.00,7.00,0.00,0.00,0.00,0.00,0.04999677,4.199997,0.20998628400969,5.216365,3.014874,3.80759046099347,20.16492,10.78588,14775.47,3619.15,,57.8,65.540739,25.40927,0.07127702,
2021/11/19 17:10:59,25602.0875,1800.003,1.00,8.00,0.00,0.00,0.00,0.00,0,4.185964,0,5.216365,3.014874,,20.16492,10.78588,14775.47,3619.15,,57.8,65.540739,25.51059,0.04779935,
2021/11/19 17:11:01,25604.1788,2.0509,1.00,9.00,0.00,0.00,0.00,0.00,0.01127672,4.187348,0.04721955093856,5.216365,3.014874,-∞,20.16492,10.78588,14775.47,3619.15,,57.8,65.540739,25.5031029919785,0.0452455502106939,
2021/11/19 17:21:01,26204.2222,600.0024,1.00,10.00,0.00,0.00,0.00,0.00,0,4.184478,0,5.216365,3.014874,,20.16492,10.78588,14775.47,3619.15,,57.8,65.540739,25.40064,0.0003218651,
2021/11/19 17:35:58,27100.737,600.0033,1.00,12.00,0.00,0.00,0.00,0.00,0,4.183439,0,5.216365,3.014874,,20.16492,10.78588,14775.47,3619.15,,57.8,65.540739,25.40409,0.02146542,
