Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/25 22:15:58,32585.3596,1800.0038,1,15,0,0,0,0,0,2.951538,0,5.213928,2.671867E-06,20.16013,21.46811,14899.64,7192.99,,0,5.8E-05,25.48721,0.05886555,
2021/11/26 02:58:36,49543.3691,1800.0028,2,15,0,0,0,0,0,2.948872,0,8.181355,5.429697E-06,31.48785,32.18403,8269.592,3586.007,,0,0.000118,25.23178,0.01388669,
2021/11/26 07:40:35,66462.1585,1800.0024,3,15,0,0,0,0,0,2.948097,0,11.14083,4.843701E-06,42.78599,42.87185,8250.041,3575.071,,0,0.000105,25.21419,0.0691098,
2021/11/26 12:21:33,83320.5685,1800.0029,4,15,0,0,0,0,0,2.948464,0,14.08941,4.341834E-06,54.04362,53.52424,8198.241,3563.133,,0,9.4E-05,25.34538,0.04576147,
2021/11/26 12:22:03,83350.6053,30.0053,5,17,0,0,0,0,0,2.948981,0,14.08941,4.341834E-06,54.04362,53.52424,0,0,,0,9.4E-05,25.33158,-0.02754807,
