Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/25 13:42:53,1800.0032,1800.0031,1.00,1.00,0.00,0.00,0.00,0.00,0,3.53414,0,0,0,,0,0,0,0,,0,0,25.53078,0.05322456,
2021/11/25 15:33:04,8410.7535,6610.711,1.00,2.00,0.00,0.00,0.00,0.00,0.04999571,4.199826,0.20997328274646,2.245991,4.896148E-07,3.93258520748138,8.8268,1.730342E-06,6609.159,0.0627,,0,1.1E-05,25.52328,-0.05790651,
2021/11/25 16:03:04,10210.7999,1800.0038,1.00,3.00,0.00,0.00,0.00,0.00,0,4.185278,0,2.245992,4.896148E-07,,8.8268,1.730342E-06,6609.163,0.0627,,0,1.1E-05,25.46075,0.01854658,
2021/11/25 17:03:02,13809.0832,3598.2429,1.00,4.00,0.00,0.00,0.00,0.00,-3.002846,2.499986,-7.507072960156,2.245992,3.000876,3.59505535207908,8.826801,10.73081,6609.18,3597.469,,133.61,65.236435,29.62885,0.02302825,
2021/11/25 17:33:02,15609.1376,1800.0031,1.00,6.00,0.00,0.00,0.00,0.00,0,2.965631,0,2.245992,3.000886,,8.826801,10.73084,6609.18,3597.481,,133.61,65.236652,25.27306,0.01414776,
2021/11/25 19:51:15,23901.9932,8292.8148,1.00,7.00,0.00,0.00,0.00,0.00,0.04999233,4.199981,0.20996683614573,5.213928,3.000917,3.80844582644909,20.16013,10.73093,14899.63,3597.529,,57.56,65.237326,25.57402,-0.07288992,
2021/11/25 20:21:15,25702.0351,1800.0027,1.00,8.00,0.00,0.00,0.00,0.00,0,4.18598,0,5.213928,3.000917,,20.16013,10.73093,14899.63,3597.529,,57.56,65.237326,25.22416,-0.08527637,
2021/11/25 20:21:17,25704.1265,2.051,1.00,9.00,0.00,0.00,0.00,0.00,0.2499837,4.191329,1.0477639313373,5.213928,3.000917,,20.16013,10.73093,14899.63,3597.529,,57.56,65.237326,25.237397624865,-0.0794478441085117,
2021/11/25 20:31:17,26304.1713,600.0014,1.00,10.00,0.00,0.00,0.00,0.00,0,4.184854,0,5.213928,3.000917,,20.16013,10.73093,14899.63,3597.529,,57.56,65.237326,25.27439,-0.06108999,
2021/11/25 20:46:02,27188.9983,600.0043,1.00,12.00,0.00,0.00,0.00,0.00,0,4.183775,0,5.213928,3.000917,,20.16013,10.73093,14899.63,3597.529,,57.56,65.237326,25.60695,0.04513264,
2021/11/25 21:45:58,30785.3079,3596.2679,1.00,13.00,0.00,0.00,0.00,0.00,-3.005875,2.499984,-7.514639406,5.213928,6.003187,3.59470964086575,20.16013,21.46809,14899.64,7192.982,,115.14,130.504065,29.67793,-0.06782651,
2021/11/25 22:15:58,32585.3596,1800.0038,1.00,15.00,0.00,0.00,0.00,0.00,0,2.951538,0,5.213928,2.671867E-06,,20.16013,21.46811,14899.64,7192.99,,0,5.8E-05,25.48721,0.05886555,
2021/11/26 00:33:50,40857.082,8271.6731,2.00,7.00,0.00,0.00,0.00,0.00,0.04999451,4.200024,0.20997814186824,8.181355,3.219072E-05,3.80766366955959,31.48785,21.46819,8269.551,0.0491,,0,0.0007,25.29562,0.02918065,
2021/11/26 01:03:50,42657.1226,1800.0018,2.00,8.00,0.00,0.00,0.00,0.00,0,4.186266,0,8.181355,3.219072E-05,,31.48785,21.46819,8269.554,0.0491,,0,0.0007,25.21041,-0.05756915,
2021/11/26 01:03:52,42659.213,2.0501,2.00,9.00,0.00,0.00,0.00,0.00,0.004556298,4.187479,0.019079402192742,8.181355,3.219072E-05,,31.48785,21.46819,8269.554,0.0491,,0,0.0007,25.2182434486577,-0.0587178848890749,
2021/11/26 01:13:52,43259.2556,600.0024,2.00,10.00,0.00,0.00,0.00,0.00,0,4.185068,0,8.181355,3.219072E-05,,31.48785,21.46819,8269.554,0.0491,,0,0.0007,25.23261,-0.01884997,
2021/11/26 01:28:49,44156.5801,600.0032,2.00,12.00,0.00,0.00,0.00,0.00,0,4.184081,0,8.181355,3.219072E-05,,31.48785,21.46819,8269.554,0.0491,,0,0.0007,25.41528,0.04279375,
2021/11/26 02:28:36,47743.316,3586.6957,2.00,13.00,0.00,0.00,0.00,0.00,-3.007225,2.499984,-7.5180143844,8.181355,2.994875,3.59617844034851,31.48785,32.18402,8269.592,3585.999,,36.61,65.105978,29.91025,0.07610798,
2021/11/26 02:58:36,49543.3691,1800.0028,2.00,15.00,0.00,0.00,0.00,0.00,0,2.948872,0,8.181355,5.429697E-06,,31.48785,32.18403,8269.592,3586.007,,0,0.000118,25.23178,0.01388669,
2021/11/26 05:16:09,57795.9645,8252.546399,3.00,7.00,0.00,0.00,0.00,0.00,0.04999816,4.19994,0.2099892721104,11.14083,3.48197E-05,3.80861658810319,42.78599,32.18412,8250.019,0.0459,,0,0.000757,25.2718,-0.06192744,
2021/11/26 05:46:09,59596.0099,1800.0036,3.00,8.00,0.00,0.00,0.00,0.00,0,4.186768,0,11.14083,3.48197E-05,,42.78599,32.18412,8250.019,0.0459,,0,0.000757,25.45174,-0.03304541,
