Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/28 10:51:35,1800.0023,1800.0023,1.00,1.00,0.00,0.00,0.00,0.00,0,3.207177,0,0,0,,0,0,0,0,,0,0,35.25941,-0.03143311,
2021/11/28 12:06:00,6265.5354,4465.493,1.00,2.00,0.00,0.00,0.00,0.00,0.04999527,4.200143,0.20998728332361,2.756918,1.354429E-09,3.88180345311112,10.70388,4.344491E-09,4464.258,0.0077,,0,0,35.53927,0.04728794,
2021/11/28 12:11:00,6565.5801,300.003,1.00,3.00,0.00,0.00,0.00,0.00,0,4.194571,0,2.756918,1.354429E-09,,10.70388,4.344491E-09,4464.259,0.0077,,0,0,35.51381,0.05872488,
2021/11/28 12:11:03,6567.6727,2.051699,1.00,4.00,0.00,0.00,0.00,0.00,0.2500171,4.198497,1.0496960442987,2.756918,1.354429E-09,-∞,10.70388,4.344491E-09,4464.259,0.0077,,0,0,35.5078433858202,0.0556807189014938,
2021/11/28 12:41:03,8367.7178,1800.0024,1.00,5.00,0.00,0.00,0.00,0.00,0,4.187326,0,2.756918,1.354429E-09,,10.70388,4.344491E-09,4464.259,0.0077,,0,0,35.36645,0.04320621,
2021/11/28 14:32:09,15034.0042,6666.2399,1.00,7.00,0.00,0.00,0.00,0.00,-1.50023,2.5,-3.750575,2.756921,2.777074,3.68825689170843,10.70389,10.18343,4464.294,6664.008,,100.73,60.371174,37.4136,0.09971142,
2021/11/28 15:02:09,16834.0572,1800.0031,1.00,9.00,0.00,0.00,0.00,0.00,0,2.895046,0,2.756921,2.777076,,10.70389,10.18343,4464.294,6664.015,,100.73,60.371217,35.4136,0.08051276,
2021/11/28 16:21:57,21622.4876,4788.3894,1.00,10.00,0.00,0.00,0.00,0.00,0.04999948,4.199978,0.20999671601144,5.598446,2.777093,3.87095307675765,21.65965,10.18348,9251.386,6664.055,,49.6,60.371587,35.38951,-0.05996346,
2021/11/28 16:51:57,23422.5405,1800.0031,1.00,12.00,0.00,0.00,0.00,0.00,0,4.188352,0,5.598446,2.777093,,21.65965,10.18348,9251.391,6664.055,,49.6,60.371587,35.63189,0.05380511,
2021/11/28 17:38:02,26186.6632,2764.0819,1.00,13.00,0.00,0.00,0.00,0.00,-3.704208,2.499977,-9.260434803216,5.598446,5.619713,3.29185165660814,21.65965,20.43299,9251.416,9427.558,,100.38,122.167674,40.47045,0.09339452,
2021/11/28 18:08:02,27986.7068,1800.0021,1.00,14.00,0.00,0.00,0.00,0.00,0,2.964273,0,5.598446,5.619717,,21.65965,20.433,9251.416,9427.561,,100.38,122.167761,35.88197,0.06438375,
2021/11/28 19:27:17,32742.5105,4755.7394,1.00,10.00,1.00,1.00,0.00,0.00,0.04999651,4.200056,0.20998814180456,8.416071,5.619753,,32.53454,20.43311,14005.77,9427.596,,66.77,122.168543,35.9468,0.06680012,
2021/11/28 19:57:17,34542.5638,1800.003,1.00,12.00,1.00,1.00,0.00,0.00,0,4.188806,0,8.416072,5.619753,,32.53454,20.43311,14005.77,9427.596,,66.77,122.168543,35.74076,0.04417658,
2021/11/28 20:20:06,35911.3769,1368.7735,1.00,13.00,1.00,1.00,0.00,0.00,-7.413322,2.499946,-18.532904680612,8.416072,8.437448,,32.53454,30.32409,14005.78,10796.04,,100.25,183.422783,47.12259,-0.05710244,
2021/11/28 20:50:06,37711.4201,1800.0032,1.00,14.00,1.00,1.00,0.00,0.00,0,3.019905,0,8.416072,8.437456,,32.53454,30.32412,14005.78,10796.04,,100.25,183.422957,35.34866,-0.06996989,
