Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2022/01/24 10:42:54,3600.0015,3600.0015,1.00,1.00,0.00,0.00,0.00,0.00,0,3.588929,0,0,0,,0,0,0,0,,0,0,24.99433,0.06446421,
2022/01/24 12:24:26,9692.0734,6092.0304,1.00,2.00,0.00,0.00,0.00,0.00,0.04999983,4.200011,0.20999983599813,2.018349,0,3.9592718076657,7.978161,0,6091.879,0,,0,0,24.94394,-0.08686006,
2022/01/24 13:24:26,13292.1261,3600.0016,1.00,4.00,0.00,0.00,0.00,0.00,0,4.18537,0,4.490533E-08,0,,7.978161,0,6091.882,0,,0,0,25.19545,0.1433384,
2022/01/24 15:14:02,19868.3608,6576.1933,1.00,5.00,0.00,0.00,0.00,0.00,-1.501884,2.499873,-3.754519260732,1.57843E-07,2.742476,3.67535895750659,7.978162,10.01731,6091.917,6575.777,,1737470800,59.619043,26.21176,-0.1541603,
2022/01/24 16:14:03,23468.4219,3600.0027,1.00,8.00,0.00,0.00,0.00,0.00,0,2.963929,0,1.57843E-07,2.742481,,7.978162,10.01732,6091.917,6575.788,,1737473600,59.619152,25.42079,0.09408236,
2022/01/24 18:33:45,31850.6011,8382.1391,1.00,9.00,0.00,0.00,0.00,0.00,0.04998853,4.199953,0.20994947653909,2.737545,2.742481,3.8284372245595,18.45961,10.01732,14473.25,6575.788,,100.18,59.619152,25.11852,0.111841,
2022/01/24 18:33:47,31852.7183,2.0526,1.00,11.00,0.00,0.00,0.00,0.00,0.2500371,4.20372,1.051085958012,2.737545,2.742481,-∞,18.45961,10.01732,14473.26,6575.788,,100.18,59.619152,25.1209541759168,0.112435465728187,
2022/01/24 19:33:47,35452.7625,3600.0039,1.00,12.00,0.00,0.00,0.00,0.00,0,4.185454,0,2.737545,2.742481,,18.45961,10.01732,14473.26,6575.788,,100.18,59.619152,25.51154,-0.1379186,
2022/01/24 19:43:40,36045.8956,300.0026,1.00,14.00,0.00,0.00,0.00,0.00,0,4.18522,0,2.737545,2.742481,,18.45961,10.01732,14473.26,6575.788,,100.18,59.619152,25.71129,0.1728225,
2022/01/24 19:43:50,36055.9395,10.0017,1.00,15.00,0.00,0.00,0.00,0.00,-9.146094,3.861648,-35.318995602912,2.712173,2.742481,∞,18.36093,10.01732,14473.27,6585.773,,101.12,59.619152,25.7115,0.01465619,
2022/01/24 19:44:30,36095.9848,40.0033,1.00,16.00,0.00,0.00,0.00,0.00,0,4.152679,0,2.712173,2.742481,,18.36093,10.01732,14473.27,6585.773,,101.12,59.619152,26.15445,0.07579148,
2022/01/24 19:44:40,36106.0306,10.0049,1.00,17.00,0.00,0.00,0.00,0.00,1.197619,4.199927,5.029912373813,2.716014,2.742481,-158.643578774893,18.37706,10.01732,14483.28,6585.773,,100.97,59.619152,26.04708,0.1490641,
2022/01/24 19:45:20,36146.0753,40.0031,1.00,18.00,0.00,0.00,0.00,0.00,0,4.162672,0,2.716014,2.742481,,18.37706,10.01732,14483.28,6585.773,,100.97,59.619152,25.40302,-0.1861471,
2022/01/24 19:52:02,36548.4122,402.2874,1.00,20.00,0.00,0.00,0.00,0.00,-1.500055,4.037407,-6.056332557385,2.716014,2.91008,2.83813910938968,18.37706,10.69797,14483.28,6988.023,,107.15,63.262609,25.69664,0.1139748,
2022/01/24 20:22:03,38348.4566,1800.0036,1.00,21.00,0.00,0.00,0.00,0.00,0,4.101147,0,2.716014,2.91008,,18.37706,10.69797,14483.28,6988.023,,107.15,63.262609,25.49996,0.01885593,
2022/01/24 20:31:56,38941.4928,300.005,1.00,14.00,1.00,0.00,0.00,0.00,0,4.101146,0,2.716014,2.91008,,18.37706,10.69797,14483.28,6988.023,,107.15,63.262609,25.64044,0.131858,
2022/01/24 20:32:06,38951.5367,10.0032,1.00,15.00,1.00,0.00,0.00,0.00,-9.146283,3.817712,-34.917874364496,2.690596,2.91008,,18.27944,10.69797,14483.28,6998.026,,108.16,63.262609,25.9415,0.1414782,
2022/01/24 20:32:46,38991.5794,40.0019,1.00,16.00,1.00,0.00,0.00,0.00,0,4.088019,0,2.690596,2.91008,,18.27944,10.69797,14483.28,6998.026,,108.16,63.262609,26.05852,0.09463608,
2022/01/24 20:32:56,39001.6235,10.0025,1.00,17.00,1.00,0.00,0.00,0.00,1.827103,4.147324,7.577588122372,2.695673,2.91008,,18.30046,10.69797,14493.28,6998.026,,107.95,63.262609,25.54954,-0.1945043,
