Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/13 00:54:06,387595.7924,300.0032,25,30,4,1,7,2,0,4.188166,0,15.1581,15.31895,58.84058,50.73317,6618.873,897.9182,,101.06,333.020652,30.26231,0.05230486,30.0832,0.003042817,30.10059,-0.01019359,
2021/12/13 04:07:29,399198.3413,300.0034,26,30,5,1,7,2,0,4.188427,0,17.5899,17.77286,68.30858,58.65532,6620.676,897.5744,,101.04,386.366522,29.934,-0.05206943,30.00581,-0.01618505,30.25148,0.03001094,
2021/12/13 07:20:43,410792.9078,300.0048,27,30,6,1,7,2,0,4.18833,0,20.02127,20.2264,77.7747,66.57572,6612.161,898.001,,101.02,439.704348,29.52054,0.01004934,29.50044,-0.08241534,29.58118,-0.08685529,
2021/12/13 10:30:24,422173.731,300.0023,28,30,7,1,6,2,0,4.188193,0,22.37361,22.6011,86.95927,74.26244,6432.412,864.1369,,101.02,491.328261,29.90777,0.06770849,29.81956,0.0420779,29.81564,0.031057,
2021/12/13 13:40:10,433559.6326,300.0023,29,30,8,1,6,2,0,4.188425,0,24.72603,24.9762,96.14382,81.94891,6439.058,862.2457,,101.01,542.96087,29.83534,-0.0682354,29.66479,-0.04112005,29.81364,-0.01243532,
2021/12/13 16:49:53,444942.6976,300.0029,30,30,9,1,6,2,0,4.18822,0,27.07838,27.35144,105.3277,89.6347,6436.88,861.4056,,101.01,594.596522,30.02239,0.06646097,29.88689,0.04912615,29.86887,0.04473448,
2021/12/14 05:12:59,489528.0826,300.0024,31,30,0,1,7,3,0,4.188118,0,5.40918,5.47643,20.88751,18.94035,15153.99,7894.229,,101.24,119.052826,30.11483,0.04146099,30.21764,0.080176,30.22097,0.05814612,
2021/12/14 08:26:12,501122.0222,300.0051,32,30,1,1,7,3,0,4.188137,0,7.840954,7.932144,30.35563,26.86306,6611.04,898.762,,101.16,172.437913,29.71974,0.02214909,29.80018,0.0002712011,29.87435,0.03009379,
2021/12/14 11:39:30,512719.5006,300.0028,33,30,2,1,7,3,0,4.188225,0,10.27255,10.38755,39.82212,34.78274,6614.177,898.1767,,101.12,225.816304,29.87153,-0.09068489,29.59039,-0.03643751,29.71356,-0.003328919,
2021/12/14 14:49:20,524109.8552,300.0022,34,30,3,1,6,3,0,4.188509,0,12.62634,12.76353,49.01181,42.46717,6441.896,863.9404,,101.09,277.468043,29.97509,-0.01238644,29.69155,-0.05365014,29.71582,-0.04263759,
2021/12/14 17:59:13,535502.9593,300.0027,35,30,4,1,6,3,0,4.188298,0,14.97983,15.13923,58.20013,50.15016,6445.907,862.6746,,101.06,329.113696,30.15362,-0.05924523,30.19301,0.001788139,30.19633,0.021649,
2021/12/14 21:09:01,546890.5539,300.0029,36,30,5,1,6,3,0,4.188179,0,17.33302,17.51491,67.38694,57.83235,6438.87,864.2217,,101.05,380.758913,30.19559,-0.02225637,30.12924,0.03056705,30.18194,0.03719628,
2021/12/15 00:18:48,558277.7493,300.0031,37,30,6,1,6,3,0,4.188143,0,19.68598,19.8907,76.57272,65.51414,6439.03,863.3268,,101.04,432.406522,30.17881,0.03520668,30.08418,-0.0227958,30.14392,0.03987193,
2021/12/15 03:28:35,569664.679,300.0037,38,30,7,1,6,3,0,4.188196,0,22.03893,22.26621,85.75851,73.19489,6439.67,862.5095,,101.03,484.048043,29.97575,0.0005447865,30.05005,-0.003991723,30.10979,0.00924468,
2021/12/15 06:38:29,581058.5345,300.0045,39,30,8,1,6,3,0,4.188156,0,24.39245,24.642,94.94636,80.87623,6444.877,864.6226,,101.02,535.695652,30.038,-0.04001617,29.92317,0.06919324,29.91092,-0.05405068,
2021/12/15 09:48:17,592446.3821,300.0032,40,30,9,1,6,3,0,4.18821,0,26.7452,27.01771,104.1308,88.5565,6439.65,863.8717,,101.02,587.341522,30.27126,0.09433806,29.9369,0.04580498,29.90478,0.03037572,
2021/12/18 03:41:26,829635.5762,300.0041,41,30,0,1,6,0,0,4.188083,0,7.968216,8.591772,30.53368,30.5181,94993.12,102652.8,,107.83,186.777652,29.93058,0.0008404255,30.10359,0.05582929,30.14217,0.06247282,
2021/12/18 06:51:16,841025.6287,300.0043,42,30,1,1,6,0,0,4.188014,0,10.32361,10.96973,39.72971,38.20192,6444.279,862.3479,,106.26,238.472391,30.00883,-0.05664647,30.0955,-0.03318787,30.09171,-0.03100276,
2021/12/18 10:01:00,852409.3331,300.0044,43,30,2,1,6,0,0,4.187932,0,12.67875,13.34715,48.92413,45.88322,6437.161,863.0391,,105.27,290.155435,29.96596,-0.042454,30.13904,0.02622485,30.12116,0.01740634,
2021/12/18 13:10:41,863791.0004,300.0035,44,30,3,1,6,0,0,4.188121,0,15.03368,15.7244,58.11731,53.56301,6434.931,862.994,,104.59,341.834783,30.02705,-0.02420723,30.08734,0.02001703,30.06237,0.02885044,
2021/12/18 16:20:30,875179.4872,300.0023,45,30,4,1,6,0,0,4.188208,0,17.38861,18.10141,67.31014,61.24114,6441.006,863.1289,,104.1,393.508913,30.00678,-0.02793372,30.03174,-0.04013538,30.05617,-0.02691805,
2021/12/18 19:30:12,886561.116,300.0038,46,30,5,1,6,0,0,4.188001,0,19.74329,20.47797,76.50183,68.91733,6435.814,861.3838,,103.72,445.173261,30.04106,-0.01212955,30.19311,0.04213274,30.22466,0.0509721,
2021/12/18 22:40:01,897950.4824,300.0023,47,30,6,1,6,0,0,4.18826,0,22.09814,22.8547,85.69397,76.59373,6441.828,863.3083,,103.42,496.841304,30.0783,-0.05862057,29.98652,-0.03844619,30.07447,-0.005367398,
2021/12/19 01:49:59,909348.3681,300.002,48,30,7,1,6,0,0,4.188214,0,24.45291,25.23128,94.88583,84.26946,6451.774,861.8159,,103.18,548.506087,30.06262,-0.09718895,30.10181,-0.03619254,30.16863,-0.00531435,
2021/12/19 04:59:42,920731.5941,300.0015,49,30,8,1,6,0,0,4.188038,0,26.80727,27.60755,104.076,91.94361,6437.379,861.584,,102.99,600.16413,30.10075,-0.05989134,30.1753,0.08174121,30.20685,0.06191492,
2021/12/19 08:09:29,932118.5605,300.0023,50,30,9,1,6,0,0,4.188025,0,29.16191,29.98411,113.267,99.61812,6439.24,863.3836,,102.82,651.828478,30.28193,0.05844295,29.97583,0.006037951,29.99318,-0.02263784,
2021/12/19 20:26:12,976321.9233,300.0039,51,30,0,1,6,1,0,4.188207,0,5.292686,5.35917,20.4732,18.56506,14922.86,7756.608,,101.26,116.503696,29.99018,-0.08934796,30.03409,0.00900805,30.08677,0.02225101,
2021/12/19 23:36:07,987716.7958,300.0022,52,30,1,1,6,1,0,4.188238,0,7.64796,7.736981,29.66817,26.24199,6447.897,862.206,,101.16,168.195239,30.36356,0.06359339,30.15648,0.06346703,30.09625,0.0414294,
